,0
977,1993
978,2000
979,1997
980,1995
981,1998
982,1997
983,1998
984,1990
985,1996
986,1982
987,1995
988,2003
989,1996
990,1993
991,1989
992,2008
993,2006
994,2004
995,2000
996,2012
997,2007
998,2013
999,2004
1000,2010
1001,2011
1002,2015
1003,2015
1004,2016
1005,2005
1006,2014
1007,2008
1008,1998
1009,2009
1010,2007
1011,1835
1012,1956
1013,1952
1014,1886
1015,1883
1016,1876
1017,1859
1018,1844
1019,1838
1020,1823
1021,1850
1022,1817
1023,1824
1024,1835
1025,1838
1026,1853
1027,1853
1028,1862
1029,1858
1030,1872
1031,1874
1032,1883
1033,1896
1034,1911
1035,1913
1036,1906
1037,1935
1038,1934
1039,1936
1040,1944
1041,1948
1042,1939
1043,1957
1044,1954
1045,1954
1046,1971
1047,1971
1048,1960
1049,1970
1050,1976
1051,1962
1052,1978
1053,1960
1054,1957
1055,1966
1056,1966
1057,1960
1058,1968
1059,1970
1060,1956
1061,1972
1062,1959
1063,1972
1064,1978
1065,1967
1066,1966
1067,1979
1068,1968
1069,1979
1070,1977
1071,1970
1072,1975
1073,1964
1074,1968
1075,1960
1076,1971
1077,1970
1078,1975
1079,1967
1080,1960
1081,1974
1082,1983
1083,1978
1084,1974
1085,1982
1086,1974
1087,1984
1088,1984
1089,1992
1090,1987
1091,1987
1092,1992
1093,1987
1094,1996
1095,1992
1096,1994
1097,1992
1098,2001
1099,2004
1100,1998
1101,2005
1102,2022
1103,2005
1104,2007
1105,2012
1106,2008
1107,2016
1108,2024
1109,2005
1110,2011
1111,2019
1112,2015
1113,2014
1114,1999
1115,2013
1116,1999
1117,2024
1118,1996
1119,2027
1120,2011
1121,2010
1122,2023
1123,2028
1124,2045
1125,2051
1126,2059
1127,2054
1128,2056
1129,2047
1130,2066
1131,2049
1132,2041
1133,2013
1134,2020
1135,1998
1136,1990
1137,1992
1138,1980
1139,1979
1140,1985
1141,1980
1142,1992
1143,1974
1144,1987
1145,1981
1146,1983
1147,1987
1148,2040
1149,2083
1150,2130
1151,2183
1152,2325
1153,2423
1154,2527
1155,2559
1156,2523
1157,2368
1158,2096
1159,2004
1160,1901
1161,1858
1162,1838
1163,1831
1164,1853
1165,1845
1166,1851
1167,1860
1168,1872
1169,1891
1170,1893
1171,1894
1172,1919
1173,1917
1174,1930
1175,1925
1176,1943
1177,1952
1178,1954
1179,1951
1180,1960
1181,1962
1182,1978
1183,1979
1184,1973
1185,1978
1186,1984
1187,1991
1188,1983
1189,1999
1190,1992
1191,1998
1192,2006
1193,1999
1194,2016
1195,2038
1196,2006
1197,2017
1198,2027
1199,2031
1200,2051
1201,2044
1202,2070
1203,2062
1204,2055
1205,2056
1206,2070
1207,2080
1208,2078
1209,2077
1210,2074
1211,2087
1212,2102
1213,2091
1214,2102
1215,2114
1216,2116
1217,2128
1218,2108
1219,2108
1220,2102
1221,2096
1222,2081
1223,2074
1224,2082
1225,2059
1226,2058
1227,2050
1228,2027
1229,2009
1230,1991
1231,1981
1232,1949
1233,1932
1234,1918
1235,1893
1236,1885
1237,1894
1238,1882
1239,1890
1240,1865
1241,1868
1242,1876
1243,1887
1244,1884
1245,1888
1246,1895
1247,1902
1248,1898
1249,1906
1250,1911
1251,1914
1252,1922
1253,1918
1254,1936
1255,1937
1256,1944
1257,1955
1258,1947
1259,1984
1260,1950
1261,1972
1262,1958
1263,1982
1264,1971
1265,1974
1266,1967
1267,1986
1268,1979
1269,1986
1270,1966
1271,1955
1272,1976
1273,1972
1274,1968
1275,1969
1276,1967
1277,1998
1278,1976
1279,1994
1280,1982
1281,1987
1282,1996
1283,1983
1284,1974
1285,1991
1286,1984
1287,2004
1288,1982
1289,2009
1290,1995
1291,1991
1292,2000
1293,1991
1294,1999
1295,1988
1296,1999
1297,1979
1298,2006
1299,1983
1300,1995
1301,1986
1302,2010
1303,1993
1304,2000
1305,1994
1306,2012
1307,1989
1308,1993
1309,1986
1310,1999
1311,1986
1312,1995
1313,1995
1314,1993
1315,2000
